MISO Hourly Temperatures (Fahrenheit) in Major Cities
Hourly temperature data for major cities
Source: EIA collected from NOAA
Indianapolis Temperature (Fahrenheit),Indianapolis Temperature Observation Time (Eastern Standard),Minneapolis Temperature (Fahrenheit),Minneapolis Temperature Observation Time (Eastern Standard),New Orleans International Airport Temperature (Fahrenheit),New Orleans International Airport Temperature Observation Time (Eastern Standard),UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number
27.0,2021-01-01 00:54:00,16.0,2021-01-01 00:53:00,64.0,2021-01-01 00:53:00,2021-01-01 06:00:00,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01,1
28.0,2021-01-01 01:54:00,16.0,2021-01-01 01:53:00,64.0,2021-01-01 01:53:00,2021-01-01 07:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01,2
28.9,2021-01-01 02:54:00,16.0,2021-01-01 02:53:00,63.0,2021-01-01 02:53:00,2021-01-01 08:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01,3
30.0,2021-01-01 03:54:00,18.0,2021-01-01 03:53:00,61.0,2021-01-01 03:53:00,2021-01-01 09:00:00,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01,4
30.0,2021-01-01 04:54:00,15.1,2021-01-01 04:53:00,59.0,2021-01-01 04:53:00,2021-01-01 10:00:00,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01,5
30.0,2021-01-01 05:54:00,12.9,2021-01-01 05:53:00,57.9,2021-01-01 05:53:00,2021-01-01 11:00:00,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01,6
30.9,2021-01-01 06:54:00,14.0,2021-01-01 06:53:00,57.0,2021-01-01 06:53:00,2021-01-01 12:00:00,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01,7
32.0,2021-01-01 07:54:00,12.0,2021-01-01 07:53:00,57.0,2021-01-01 07:53:00,2021-01-01 13:00:00,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01,8
32.0,2021-01-01 08:54:00,12.9,2021-01-01 08:53:00,60.1,2021-01-01 08:53:00,2021-01-01 14:00:00,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01,9
33.1,2021-01-01 09:54:00,12.0,2021-01-01 09:53:00,62.1,2021-01-01 09:53:00,2021-01-01 15:00:00,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01,10
34.0,2021-01-01 10:54:00,12.9,2021-01-01 10:53:00,64.9,2021-01-01 10:53:00,2021-01-01 16:00:00,2021-01-01 10:00:00,2021-01-01 11:00:00,2021-01-01,11
34.0,2021-01-01 11:54:00,15.1,2021-01-01 11:53:00,66.9,2021-01-01 11:53:00,2021-01-01 17:00:00,2021-01-01 11:00:00,2021-01-01 12:00:00,2021-01-01,12
36.0,2021-01-01 12:54:00,18.0,2021-01-01 12:53:00,68.0,2021-01-01 12:53:00,2021-01-01 18:00:00,2021-01-01 12:00:00,2021-01-01 13:00:00,2021-01-01,13
37.0,2021-01-01 13:54:00,19.9,2021-01-01 13:53:00,68.0,2021-01-01 13:53:00,2021-01-01 19:00:00,2021-01-01 13:00:00,2021-01-01 14:00:00,2021-01-01,14
37.9,2021-01-01 14:54:00,21.0,2021-01-01 14:53:00,68.0,2021-01-01 14:53:00,2021-01-01 20:00:00,2021-01-01 14:00:00,2021-01-01 15:00:00,2021-01-01,15
37.9,2021-01-01 15:54:00,21.9,2021-01-01 15:53:00,66.9,2021-01-01 15:53:00,2021-01-01 21:00:00,2021-01-01 15:00:00,2021-01-01 16:00:00,2021-01-01,16
37.9,2021-01-01 16:54:00,21.9,2021-01-01 16:53:00,66.0,2021-01-01 16:53:00,2021-01-01 22:00:00,2021-01-01 16:00:00,2021-01-01 17:00:00,2021-01-01,17
37.9,2021-01-01 17:54:00,21.0,2021-01-01 17:53:00,63.0,2021-01-01 17:53:00,2021-01-01 23:00:00,2021-01-01 17:00:00,2021-01-01 18:00:00,2021-01-01,18
39.0,2021-01-01 18:54:00,19.9,2021-01-01 18:53:00,60.1,2021-01-01 18:53:00,2021-01-02 00:00:00,2021-01-01 18:00:00,2021-01-01 19:00:00,2021-01-01,19
42.1,2021-01-01 19:54:00,21.9,2021-01-01 19:53:00,57.9,2021-01-01 19:53:00,2021-01-02 01:00:00,2021-01-01 19:00:00,2021-01-01 20:00:00,2021-01-01,20
42.1,2021-01-01 20:54:00,21.9,2021-01-01 20:53:00,55.9,2021-01-01 20:53:00,2021-01-02 02:00:00,2021-01-01 20:00:00,2021-01-01 21:00:00,2021-01-01,21
41.0,2021-01-01 21:54:00,23.0,2021-01-01 21:53:00,53.1,2021-01-01 21:53:00,2021-01-02 03:00:00,2021-01-01 21:00:00,2021-01-01 22:00:00,2021-01-01,22
37.9,2021-01-01 22:54:00,19.0,2021-01-01 22:53:00,54.0,2021-01-01 22:53:00,2021-01-02 04:00:00,2021-01-01 22:00:00,2021-01-01 23:00:00,2021-01-01,23
36.0,2021-01-01 23:54:00,18.0,2021-01-01 23:53:00,53.1,2021-01-01 23:53:00,2021-01-02 05:00:00,2021-01-01 23:00:00,2021-01-02 00:00:00,2021-01-01,24
35.1,2021-01-02 00:54:00,17.1,2021-01-02 00:53:00,51.1,2021-01-02 00:53:00,2021-01-02 06:00:00,2021-01-02 00:00:00,2021-01-02 01:00:00,2021-01-02,1
34.0,2021-01-02 01:54:00,16.0,2021-01-02 01:53:00,53.1,2021-01-02 01:53:00,2021-01-02 07:00:00,2021-01-02 01:00:00,2021-01-02 02:00:00,2021-01-02,2
34.0,2021-01-02 02:54:00,15.1,2021-01-02 02:53:00,53.1,2021-01-02 02:53:00,2021-01-02 08:00:00,2021-01-02 02:00:00,2021-01-02 03:00:00,2021-01-02,3
34.0,2021-01-02 03:54:00,14.0,2021-01-02 03:53:00,53.1,2021-01-02 03:53:00,2021-01-02 09:00:00,2021-01-02 03:00:00,2021-01-02 04:00:00,2021-01-02,4
34.0,2021-01-02 04:54:00,12.9,2021-01-02 04:53:00,52.0,2021-01-02 04:53:00,2021-01-02 10:00:00,2021-01-02 04:00:00,2021-01-02 05:00:00,2021-01-02,5
33.1,2021-01-02 05:54:00,12.0,2021-01-02 05:53:00,50.0,2021-01-02 05:53:00,2021-01-02 11:00:00,2021-01-02 05:00:00,2021-01-02 06:00:00,2021-01-02,6
33.1,2021-01-02 06:54:00,10.9,2021-01-02 06:53:00,50.0,2021-01-02 06:53:00,2021-01-02 12:00:00,2021-01-02 06:00:00,2021-01-02 07:00:00,2021-01-02,7
32.0,2021-01-02 07:54:00,10.9,2021-01-02 07:53:00,50.0,2021-01-02 07:53:00,2021-01-02 13:00:00,2021-01-02 07:00:00,2021-01-02 08:00:00,2021-01-02,8
32.0,2021-01-02 08:54:00,10.0,2021-01-02 08:53:00,50.0,2021-01-02 08:53:00,2021-01-02 14:00:00,2021-01-02 08:00:00,2021-01-02 09:00:00,2021-01-02,9
34.0,2021-01-02 09:54:00,12.0,2021-01-02 09:53:00,51.1,2021-01-02 09:53:00,2021-01-02 15:00:00,2021-01-02 09:00:00,2021-01-02 10:00:00,2021-01-02,10
35.1,2021-01-02 10:54:00,14.0,2021-01-02 10:53:00,52.0,2021-01-02 10:53:00,2021-01-02 16:00:00,2021-01-02 10:00:00,2021-01-02 11:00:00,2021-01-02,11
35.1,2021-01-02 11:54:00,17.1,2021-01-02 11:53:00,52.0,2021-01-02 11:53:00,2021-01-02 17:00:00,2021-01-02 11:00:00,2021-01-02 12:00:00,2021-01-02,12
35.1,2021-01-02 12:54:00,18.0,2021-01-02 12:53:00,54.0,2021-01-02 12:53:00,2021-01-02 18:00:00,2021-01-02 12:00:00,2021-01-02 13:00:00,2021-01-02,13
35.1,2021-01-02 13:54:00,21.0,2021-01-02 13:53:00,55.0,2021-01-02 13:53:00,2021-01-02 19:00:00,2021-01-02 13:00:00,2021-01-02 14:00:00,2021-01-02,14
35.1,2021-01-02 14:54:00,21.0,2021-01-02 14:53:00,55.9,2021-01-02 14:53:00,2021-01-02 20:00:00,2021-01-02 14:00:00,2021-01-02 15:00:00,2021-01-02,15
35.1,2021-01-02 15:54:00,23.0,2021-01-02 15:53:00,57.9,2021-01-02 15:53:00,2021-01-02 21:00:00,2021-01-02 15:00:00,2021-01-02 16:00:00,2021-01-02,16
35.1,2021-01-02 16:54:00,24.1,2021-01-02 16:53:00,57.0,2021-01-02 16:53:00,2021-01-02 22:00:00,2021-01-02 16:00:00,2021-01-02 17:00:00,2021-01-02,17
34.0,2021-01-02 17:54:00,24.1,2021-01-02 17:53:00,54.0,2021-01-02 17:53:00,2021-01-02 23:00:00,2021-01-02 17:00:00,2021-01-02 18:00:00,2021-01-02,18
34.0,2021-01-02 18:54:00,23.0,2021-01-02 18:53:00,51.1,2021-01-02 18:53:00,2021-01-03 00:00:00,2021-01-02 18:00:00,2021-01-02 19:00:00,2021-01-02,19
34.0,2021-01-02 19:54:00,21.0,2021-01-02 19:53:00,50.0,2021-01-02 19:53:00,2021-01-03 01:00:00,2021-01-02 19:00:00,2021-01-02 20:00:00,2021-01-02,20
34.0,2021-01-02 20:54:00,21.0,2021-01-02 20:53:00,48.0,2021-01-02 20:53:00,2021-01-03 02:00:00,2021-01-02 20:00:00,2021-01-02 21:00:00,2021-01-02,21
34.0,2021-01-02 21:54:00,19.9,2021-01-02 21:53:00,46.9,2021-01-02 21:53:00,2021-01-03 03:00:00,2021-01-02 21:00:00,2021-01-02 22:00:00,2021-01-02,22
34.0,2021-01-02 22:54:00,19.0,2021-01-02 22:53:00,46.0,2021-01-02 22:53:00,2021-01-03 04:00:00,2021-01-02 22:00:00,2021-01-02 23:00:00,2021-01-02,23
